decade,roc_auc_mean,roc_auc_std
60s,0.8516215401938704,0.006444433256440753
70s,0.8502904063191229,0.0007407520619309681
80s,0.8782610524260219,0.004462742165763795
90s,0.9201805686830498,0.004818829226173748
00s,0.9214637238866921,0.0022189167376728534
10s,0.9120784843564183,0.0021355091865891554
