era,feature,mean,std,count,ci95
Analog (1960-89),acousticness,0.053124010595075655,0.002050355043302513,5,0.0017972154358949057
Analog (1960-89),chorus_hit,0.00347345512237988,0.0002354088829171041,5,0.00020634498376629403
Analog (1960-89),danceability,0.04647520525196712,0.0011885214117284867,5,0.0010417849503808535
Analog (1960-89),duration_ms,0.02162500916213776,0.002182311904992257,5,0.0019128807249265418
Analog (1960-89),energy,0.029782769959830056,0.0015103855527765584,5,0.0013239113091508563
Analog (1960-89),instrumentalness,0.0914551083053726,0.0037757960481653277,5,0.0033096311600861153
Analog (1960-89),key,0.0025322531166387203,0.00011908829262126631,5,0.00010438549090921092
Analog (1960-89),liveness,0.00863701750249052,0.00046374019803861017,5,0.00040648620583171036
Analog (1960-89),loudness,0.028898806378784236,0.0026060008485277396,5,0.002284260458318222
Analog (1960-89),mode,0.01680307610846228,0.0016548973748061002,5,0.001450581506134136
Analog (1960-89),sections,0.01296474981766678,0.0010111124461977753,5,0.0008862791357369751
Analog (1960-89),speechiness,0.05205653487317998,0.0014311352375963148,5,0.0012544453450941836
Analog (1960-89),tempo,0.01142571051514422,0.00044898523265464685,5,0.0003935529084348647
Analog (1960-89),time_signature,0.00410935854651946,0.0005556821676437282,5,0.00048707689548843766
Analog (1960-89),valence,0.02260917579411406,0.0017365008672443187,5,0.0015221101210010886
CD/Digital (1990-2009),acousticness,0.063939942891064,0.0013012847961074922,5,0.001140626414775856
CD/Digital (1990-2009),chorus_hit,0.00384123313033836,0.00031239266954223083,5,0.00027382424794947
CD/Digital (1990-2009),danceability,0.09235029776170628,0.0026492102044115523,5,0.002322135128670135
CD/Digital (1990-2009),duration_ms,0.06116076039215366,0.003983231725304823,5,0.0034914565479028186
CD/Digital (1990-2009),energy,0.028521091022656098,0.0016297220734539355,5,0.001428514381544563
CD/Digital (1990-2009),instrumentalness,0.1216801767698946,0.005841948867390282,5,0.005120693957116529
CD/Digital (1990-2009),key,0.00240317773193024,0.00018856651817070807,5,0.0001652858407407798
CD/Digital (1990-2009),liveness,0.00760556843812208,0.0005811442884436294,5,0.0005093954284087146
CD/Digital (1990-2009),loudness,0.04033389489899966,0.001701257045787985,5,0.0014912175494203033
CD/Digital (1990-2009),mode,0.00419840415117588,0.00032152048347317404,5,0.000281825129624209
CD/Digital (1990-2009),sections,0.01276297919827284,0.0007699843742032741,5,0.0006749210617138133
CD/Digital (1990-2009),speechiness,0.024133059728179702,0.001210564142812637,5,0.0010611062560655052
CD/Digital (1990-2009),tempo,0.00750102464769436,0.0005747201418304302,5,0.0005037644156270956
CD/Digital (1990-2009),time_signature,0.0021319834832338,0.0002548774383181687,5,0.00022340992498009045
CD/Digital (1990-2009),valence,0.01507165866762468,0.0012860991919866026,5,0.0011273156458831216
Streaming (2010s),acousticness,0.04433045267081394,0.003123145386770049,5,0.002737557632265619
Streaming (2010s),chorus_hit,0.00437760150661138,0.00021938773260727292,5,0.00019230182634744848
Streaming (2010s),danceability,0.05684712001756974,0.0027131290754839783,5,0.0023781624894492264
Streaming (2010s),duration_ms,0.03168054553647646,0.001219034322917711,5,0.0010685306962761772
Streaming (2010s),energy,0.04682023268547364,0.0036580952519077938,5,0.003206461863362537
Streaming (2010s),instrumentalness,0.17049545444366015,0.01597699439458993,5,0.014004453052634983
Streaming (2010s),key,0.00297737641693274,9.184694833537727e-05,5,8.050739984149537e-05
Streaming (2010s),liveness,0.00605366361854584,0.00041836951506867654,5,0.00036671704875961583
Streaming (2010s),loudness,0.062177837078732145,0.002449052534730338,5,0.002146689195665078
Streaming (2010s),mode,0.0011647259541441,0.00010473594497085916,5,9.180510351586718e-05
Streaming (2010s),sections,0.00650027004541322,0.0004596772831184359,5,0.0004029249038839737
Streaming (2010s),speechiness,0.00846933678113238,0.0006292903034443765,5,0.0005515972712645737
Streaming (2010s),tempo,0.00659244657361604,0.0005142049925485321,5,0.00045072054854164987
Streaming (2010s),time_signature,0.004855197539951781,0.001052309262815062,5,0.0009223897376428108
Streaming (2010s),valence,0.02068274360451568,0.0016105567244582787,5,0.0014117152124631788
