level,group,model,n,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,best_params,n_candidates
era,Analog (1960-89),LogReg,23315,0.7129747309318009,0.004177907726040358,0.734414990375905,0.004243588000249171,0.7863143671336058,0.001565809705325754,"{""m__C"": 1, ""m__penalty"": ""l1""}",10
era,Analog (1960-89),RandomForest,23315,0.7687754048769372,0.0012232495724691917,0.7823071256762799,0.002782150159042367,0.8481356993162175,0.0022083099683885793,"{""max_depth"": 20, ""n_estimators"": 300}",4
era,Analog (1960-89),KNN,23315,0.722925343949275,0.003107596576472464,0.764255093782909,0.002141137499835674,0.8100243732943855,0.0023550182497040126,"{""m__n_neighbors"": 75, ""m__weights"": ""distance""}",6
era,CD/Digital (1990-2009),LogReg,11391,0.7999297691159688,0.005937262196088441,0.8101217431296085,0.004717106343026937,0.8739483169464343,0.007194708422323991,"{""m__C"": 100, ""m__penalty"": ""l2""}",10
era,CD/Digital (1990-2009),RandomForest,11391,0.8462821525765957,0.00518919031029115,0.8510990545289365,0.004832583312288749,0.917129169531299,0.0052428318588444035,"{""max_depth"": 20, ""n_estimators"": 300}",4
era,CD/Digital (1990-2009),KNN,11391,0.7972961109647967,0.005596480537445097,0.8226711250014255,0.003498227292554418,0.8886353955171717,0.005542674098306246,"{""m__n_neighbors"": 45, ""m__weights"": ""distance""}",6
era,Streaming (2010s),LogReg,6397,0.803501705091702,0.0055605656591828445,0.8191945153939172,0.005711229799470474,0.8637003453721629,0.004359289673805853,"{""m__C"": 100, ""m__penalty"": ""l2""}",10
era,Streaming (2010s),RandomForest,6397,0.8425826238680001,0.001209364995106627,0.8497993565129992,0.002150179297392867,0.9120784843564183,0.0021355091865891554,"{""max_depth"": 20, ""n_estimators"": 300}",4
era,Streaming (2010s),KNN,6397,0.7686419547847972,0.0051241885724573125,0.8074956361731928,0.004115745829418906,0.8626001840271885,0.003943135781069295,"{""m__n_neighbors"": 75, ""m__weights"": ""distance""}",6
