era,seed,feature,mean_abs_shap
CD/Digital (1990-2009),2,loudness,0.04295220677157294
CD/Digital (1990-2009),2,mode,0.004248500328505565
CD/Digital (1990-2009),2,speechiness,0.02331950619070083
CD/Digital (1990-2009),2,acousticness,0.06520940084757257
CD/Digital (1990-2009),2,instrumentalness,0.12628135410311037
CD/Digital (1990-2009),2,liveness,0.0068028639678672145
CD/Digital (1990-2009),2,valence,0.014806236127759487
CD/Digital (1990-2009),2,tempo,0.007333254596249945
CD/Digital (1990-2009),2,duration_ms,0.06548527946415127
CD/Digital (1990-2009),2,time_signature,0.0019747852847377028
CD/Digital (1990-2009),2,chorus_hit,0.0037097106156461783
CD/Digital (1990-2009),2,sections,0.012978349959530905
CD/Digital (1990-2009),3,danceability,0.09444116901608939
CD/Digital (1990-2009),3,energy,0.03056107918369274
CD/Digital (1990-2009),3,key,0.0022258166936569073
CD/Digital (1990-2009),3,loudness,0.0399778792514042
CD/Digital (1990-2009),3,mode,0.003749552361277467
CD/Digital (1990-2009),3,speechiness,0.022710461936286223
CD/Digital (1990-2009),3,acousticness,0.06335887506807703
CD/Digital (1990-2009),3,instrumentalness,0.1228890850198612
CD/Digital (1990-2009),3,liveness,0.008122270239774416
CD/Digital (1990-2009),3,valence,0.01707582652640133
CD/Digital (1990-2009),3,tempo,0.007985849330054556
CD/Digital (1990-2009),3,duration_ms,0.05587355213086596
CD/Digital (1990-2009),3,time_signature,0.0024900543506951233
CD/Digital (1990-2009),3,chorus_hit,0.00348759689947423
CD/Digital (1990-2009),3,sections,0.011787697190265572
CD/Digital (1990-2009),4,danceability,0.0918847515144678
CD/Digital (1990-2009),4,energy,0.027332626946983695
CD/Digital (1990-2009),4,key,0.0024033283747904926
CD/Digital (1990-2009),4,loudness,0.039828882350221494
CD/Digital (1990-2009),4,mode,0.004011993982276011
CD/Digital (1990-2009),4,speechiness,0.023880771133275417
CD/Digital (1990-2009),4,acousticness,0.06231561462970923
CD/Digital (1990-2009),4,instrumentalness,0.12751382167937772
CD/Digital (1990-2009),4,liveness,0.007447080279840748
CD/Digital (1990-2009),4,valence,0.014609285647654163
CD/Digital (1990-2009),4,tempo,0.0075325280197809244
CD/Digital (1990-2009),4,duration_ms,0.060733844014978416
CD/Digital (1990-2009),4,time_signature,0.0020055760698759802
CD/Digital (1990-2009),4,chorus_hit,0.00382360628587426
CD/Digital (1990-2009),4,sections,0.012128809073825622
Streaming (2010s),42,danceability,0.058868268600080376
Streaming (2010s),42,energy,0.04178335555139659
Streaming (2010s),42,key,0.0029136187647742255
Streaming (2010s),42,loudness,0.06326735657005068
Streaming (2010s),42,mode,0.0010399796112139066
Streaming (2010s),42,speechiness,0.009346246209526858
Streaming (2010s),42,acousticness,0.04671998416122662
Streaming (2010s),42,instrumentalness,0.16908877843023537
Streaming (2010s),42,liveness,0.005893804811783043
Streaming (2010s),42,valence,0.019934406873656087
Streaming (2010s),42,tempo,0.0059688005389106425
Streaming (2010s),42,duration_ms,0.031067790286097952
Streaming (2010s),42,time_signature,0.003834889335931858
Streaming (2010s),42,chorus_hit,0.004496965193773826
Streaming (2010s),42,sections,0.00726592575494527
Streaming (2010s),1,danceability,0.0601444317980266
Streaming (2010s),1,energy,0.048751690858814783
Streaming (2010s),1,key,0.0030757723118817323
Streaming (2010s),1,loudness,0.06255875886205782
Streaming (2010s),1,mode,0.0013086126759416152
Streaming (2010s),1,speechiness,0.00883765780765947
Streaming (2010s),1,acousticness,0.048258796865354336
Streaming (2010s),1,instrumentalness,0.15632523319114236
Streaming (2010s),1,liveness,0.005775649390630011
Streaming (2010s),1,valence,0.020188449427204262
Streaming (2010s),1,tempo,0.006953008540944342
Streaming (2010s),1,duration_ms,0.03179136728029968
Streaming (2010s),1,time_signature,0.005610861660617785
Streaming (2010s),1,chorus_hit,0.0043808631738491595
Streaming (2010s),1,sections,0.006025211354587338
Streaming (2010s),2,danceability,0.05649195138612312
Streaming (2010s),2,energy,0.044939998423111416
Streaming (2010s),2,key,0.0029586555444318734
Streaming (2010s),2,loudness,0.061117983332749384
Streaming (2010s),2,mode,0.0010914332279303644
Streaming (2010s),2,speechiness,0.008013739658881558
Streaming (2010s),2,acousticness,0.040498198078998515
Streaming (2010s),2,instrumentalness,0.1929190305250814
Streaming (2010s),2,liveness,0.006564792822582593
Streaming (2010s),2,valence,0.018872118331861438
Streaming (2010s),2,tempo,0.0062408820881756965
Streaming (2010s),2,duration_ms,0.033717060813318135
Streaming (2010s),2,time_signature,0.00395119457430098
Streaming (2010s),2,chorus_hit,0.004027750827050444
Streaming (2010s),2,sections,0.006356209560765704
Streaming (2010s),3,danceability,0.053354609722727285
Streaming (2010s),3,energy,0.04725607951623861
Streaming (2010s),3,key,0.002870626272347376
Streaming (2010s),3,loudness,0.06524757752203068
Streaming (2010s),3,mode,0.0012114918689818694
Streaming (2010s),3,speechiness,0.008357420699819594
Streaming (2010s),3,acousticness,0.043310204707964525
Streaming (2010s),3,instrumentalness,0.17915574491494599
Streaming (2010s),3,liveness,0.006425293515502429
Streaming (2010s),3,valence,0.021306131216577186
Streaming (2010s),3,tempo,0.006563472039889858
Streaming (2010s),3,duration_ms,0.03125352159681778
Streaming (2010s),3,time_signature,0.004627956920503329
Streaming (2010s),3,chorus_hit,0.004368628671677791
Streaming (2010s),3,sections,0.006396889554548714
Streaming (2010s),4,danceability,0.055376338580891526
Streaming (2010s),4,energy,0.05137003907780702
Streaming (2010s),4,key,0.0030682091912287166
Streaming (2010s),4,loudness,0.05869750910677248
Streaming (2010s),4,mode,0.0011721123866529535
Streaming (2010s),4,speechiness,0.007791619529774746
Streaming (2010s),4,acousticness,0.04286507954052586
Streaming (2010s),4,instrumentalness,0.15498848515689598
Streaming (2010s),4,liveness,0.005608777552231349
Streaming (2010s),4,valence,0.023112612173279742
Streaming (2010s),4,tempo,0.007236069660159939
Streaming (2010s),4,duration_ms,0.030572987705849045
Streaming (2010s),4,time_signature,0.006251085208405252
Streaming (2010s),4,chorus_hit,0.004613799666705963
Streaming (2010s),4,sections,0.006457114002219266
