level,group,feature,mean_abs_shap,mean_signed_shap
era,Analog (1960-89),danceability,0.04708593788110204,0.00238244010276433
era,Analog (1960-89),energy,0.031210596966688778,-0.0006136595993015098
era,Analog (1960-89),key,0.003289201512052713,0.0002655582176150558
era,Analog (1960-89),loudness,0.03301169366050337,-0.000421004098222616
era,Analog (1960-89),mode,0.017873299824428656,-0.0017297787581574866
era,Analog (1960-89),speechiness,0.05475787771433118,-0.001391547223063513
era,Analog (1960-89),acousticness,0.06013353725864759,0.003167733036733277
era,Analog (1960-89),instrumentalness,0.09416364210664374,-0.006240080277955869
era,Analog (1960-89),liveness,0.010447995279567461,-0.0003267225953546943
era,Analog (1960-89),valence,0.025598395134749378,0.0005573463616864166
era,Analog (1960-89),tempo,0.01341807344843408,-0.001471746779782689
era,Analog (1960-89),duration_ms,0.023726784480278887,-0.0023204157469364226
era,Analog (1960-89),time_signature,0.004977149419143323,-0.0008143884987814743
era,Analog (1960-89),chorus_hit,0.004462392838335301,0.0007724891238909596
era,Analog (1960-89),sections,0.013726490415419403,5.9392601105262106e-05
era,CD/Digital (1990-2009),danceability,0.09348657045992186,0.005460870585803951
era,CD/Digital (1990-2009),energy,0.028910789648166547,0.0056508737082613366
era,CD/Digital (1990-2009),key,0.0033135371069945496,0.00015452397056170544
era,CD/Digital (1990-2009),loudness,0.03967630881926898,0.00694296520424461
era,CD/Digital (1990-2009),mode,0.005582646902301146,-0.0006395928803095628
era,CD/Digital (1990-2009),speechiness,0.026376484801077363,0.00297221071449383
era,CD/Digital (1990-2009),acousticness,0.06474781350594214,0.003883893944711114
era,CD/Digital (1990-2009),instrumentalness,0.11830011744585027,0.01310055997370106
era,CD/Digital (1990-2009),liveness,0.009058159274612135,0.00016864923430124723
era,CD/Digital (1990-2009),valence,0.018020949409082325,0.0015108535702972022
era,CD/Digital (1990-2009),tempo,0.0086052822346176,-0.0002470286932462032
era,CD/Digital (1990-2009),duration_ms,0.06732557991280802,-0.0049779536689823845
era,CD/Digital (1990-2009),time_signature,0.0019403398196992166,0.00027891305679484524
era,CD/Digital (1990-2009),chorus_hit,0.005143064632294774,0.00029178193473257744
era,CD/Digital (1990-2009),sections,0.014364244867198402,-0.0005253668097812219
era,Streaming (2010s),danceability,0.05769932446106527,5.632008905415684e-05
era,Streaming (2010s),energy,0.043925189114964215,0.003724963425447112
era,Streaming (2010s),key,0.003733228853140111,0.0001727740790861234
era,Streaming (2010s),loudness,0.0644115311825801,0.0031282890113429945
era,Streaming (2010s),mode,0.00126880067063979,0.00022370366102587744
era,Streaming (2010s),speechiness,0.009952167183615692,0.0012499079249934206
era,Streaming (2010s),acousticness,0.04880859600434453,-0.0018166646645456034
era,Streaming (2010s),instrumentalness,0.1642756513853513,0.003527477108564509
era,Streaming (2010s),liveness,0.007028834913523704,5.713028946757609e-05
era,Streaming (2010s),valence,0.024292887409545282,0.0020136776322152014
era,Streaming (2010s),tempo,0.008138709421141664,0.0003731106651690982
era,Streaming (2010s),duration_ms,0.03272195877716388,0.003224534138604534
era,Streaming (2010s),time_signature,0.004171453100416968,0.0009292705212454485
era,Streaming (2010s),chorus_hit,0.0059135771248071635,0.0008189124524636931
era,Streaming (2010s),sections,0.007221280194113399,0.0008437842695063199
decade,60s,danceability,0.017120295506816124,0.0005158934493564529
decade,60s,energy,0.03475441795120189,0.0005480592833269412
decade,60s,key,0.004864084652932279,0.00036781068005340876
decade,60s,loudness,0.0308783653372357,0.0023332423029235392
decade,60s,mode,0.037574401515188656,-0.004251325157161283
decade,60s,speechiness,0.04024077166117578,0.002026251732294853
decade,60s,acousticness,0.060199966491771395,-0.0005778663732806148
decade,60s,instrumentalness,0.07971706222652522,0.010710248783089482
decade,60s,liveness,0.006756462257708309,0.0004705445435089765
decade,60s,valence,0.02924354094939569,0.0038207506180774477
decade,60s,tempo,0.018322809737622184,-0.00015621302089640886
decade,60s,duration_ms,0.06267116556025128,0.0006718916982263043
decade,60s,time_signature,0.0031441115019001115,-0.0011967982058430071
decade,60s,chorus_hit,0.00844518047382797,3.9026398506219115e-05
decade,60s,sections,0.020808972758699546,0.0011704680174900014
decade,70s,danceability,0.0476439078452583,-0.0007061295304005039
decade,70s,energy,0.031600249743807464,0.0006010883165178116
decade,70s,key,0.004509484359778207,0.000613292478669945
decade,70s,loudness,0.02715154363984613,0.0012826926453766952
decade,70s,mode,0.00880969568887786,-1.4581806359169813e-05
