scheme,group,n,metric,feature,value
dedup_main,Analog,23112,mean_abs_shap,mode,0.0169
dedup_main,Analog,23112,mean_abs_shap,speechiness,0.0534
dedup_main,Analog,23112,mean_abs_shap,acousticness,0.0528
dedup_main,Analog,23112,mean_abs_shap,instrumentalness,0.0922
dedup_main,Analog,23112,mean_abs_shap,liveness,0.0084
dedup_main,Analog,23112,mean_abs_shap,valence,0.022
dedup_main,Analog,23112,mean_abs_shap,tempo,0.0098
dedup_main,Analog,23112,mean_abs_shap,duration_ms,0.0258
dedup_main,Analog,23112,mean_abs_shap,time_signature,0.0041
dedup_main,Analog,23112,mean_abs_shap,chorus_hit,0.0041
dedup_main,Analog,23112,mean_abs_shap,sections,0.0119
dedup_main,CD/Digital,11184,roc_auc,,0.9157
dedup_main,CD/Digital,11184,mean_abs_shap,danceability,0.0841
dedup_main,CD/Digital,11184,mean_abs_shap,energy,0.0328
dedup_main,CD/Digital,11184,mean_abs_shap,key,0.0024
dedup_main,CD/Digital,11184,mean_abs_shap,loudness,0.0459
dedup_main,CD/Digital,11184,mean_abs_shap,mode,0.0042
dedup_main,CD/Digital,11184,mean_abs_shap,speechiness,0.0238
dedup_main,CD/Digital,11184,mean_abs_shap,acousticness,0.0669
dedup_main,CD/Digital,11184,mean_abs_shap,instrumentalness,0.1248
dedup_main,CD/Digital,11184,mean_abs_shap,liveness,0.0081
dedup_main,CD/Digital,11184,mean_abs_shap,valence,0.0158
dedup_main,CD/Digital,11184,mean_abs_shap,tempo,0.0083
dedup_main,CD/Digital,11184,mean_abs_shap,duration_ms,0.0567
dedup_main,CD/Digital,11184,mean_abs_shap,time_signature,0.0023
dedup_main,CD/Digital,11184,mean_abs_shap,chorus_hit,0.0037
dedup_main,CD/Digital,11184,mean_abs_shap,sections,0.0142
dedup_main,Streaming,6261,roc_auc,,0.914
dedup_main,Streaming,6261,mean_abs_shap,danceability,0.0585
dedup_main,Streaming,6261,mean_abs_shap,energy,0.0598
dedup_main,Streaming,6261,mean_abs_shap,key,0.0031
dedup_main,Streaming,6261,mean_abs_shap,loudness,0.0643
dedup_main,Streaming,6261,mean_abs_shap,mode,0.0016
dedup_main,Streaming,6261,mean_abs_shap,speechiness,0.011
dedup_main,Streaming,6261,mean_abs_shap,acousticness,0.044
dedup_main,Streaming,6261,mean_abs_shap,instrumentalness,0.162
dedup_main,Streaming,6261,mean_abs_shap,liveness,0.0066
dedup_main,Streaming,6261,mean_abs_shap,valence,0.0239
dedup_main,Streaming,6261,mean_abs_shap,tempo,0.0069
dedup_main,Streaming,6261,mean_abs_shap,duration_ms,0.0317
dedup_main,Streaming,6261,mean_abs_shap,time_signature,0.0036
dedup_main,Streaming,6261,mean_abs_shap,chorus_hit,0.0046
dedup_main,Streaming,6261,mean_abs_shap,sections,0.0071
