level,group,feature,mean_abs_shap,mean_signed_shap
era,Analog (1960-89),danceability,0.04739225601801891,0.004315138009283146
era,Analog (1960-89),energy,0.029383861752692447,0.0009647310304544274
era,Analog (1960-89),key,0.002534699130339321,0.00012953957814139383
era,Analog (1960-89),loudness,0.03017907977014368,0.0008257310119330081
era,Analog (1960-89),mode,0.018183208898695537,-0.002102421100409205
era,Analog (1960-89),speechiness,0.0505764372671982,-0.003027204666538977
era,Analog (1960-89),acousticness,0.05575521927502235,0.003415520754221647
era,Analog (1960-89),instrumentalness,0.09526757749773605,-0.009670055936850863
era,Analog (1960-89),liveness,0.009290192637650626,0.000629984928193366
era,Analog (1960-89),valence,0.024719360951785056,-0.00023847433667126624
era,Analog (1960-89),tempo,0.010749748441559678,-0.0013336145232826714
era,Analog (1960-89),duration_ms,0.01939952088079987,0.000263272006012836
era,Analog (1960-89),time_signature,0.004477124837103188,-0.0008148845880407272
era,Analog (1960-89),chorus_hit,0.003136344735470075,0.0007833121971713924
era,Analog (1960-89),sections,0.012459700993066916,0.0003360137157829745
era,CD/Digital (1990-2009),danceability,0.08984265988339611,0.007868230584031492
era,CD/Digital (1990-2009),energy,0.026898221917797033,0.0037715421390873962
era,CD/Digital (1990-2009),key,0.0025312989898513853,0.00027068049232423176
era,CD/Digital (1990-2009),loudness,0.038272938105771634,0.007177022940552093
era,CD/Digital (1990-2009),mode,0.0044487621563394685,-0.00028165392085865277
era,CD/Digital (1990-2009),speechiness,0.025467811939059025,0.004253077341007439
era,CD/Digital (1990-2009),acousticness,0.06534273086093692,-0.0002539538271201447
era,CD/Digital (1990-2009),instrumentalness,0.11340254978375247,0.026280273031232364
era,CD/Digital (1990-2009),liveness,0.008225114099271829,-0.00022707888316931738
era,CD/Digital (1990-2009),valence,0.015299704202908593,0.0020777844665599635
era,CD/Digital (1990-2009),tempo,0.008032533291216148,-0.00032620706139313175
era,CD/Digital (1990-2009),duration_ms,0.06465384337037434,-0.00263480942137791
era,CD/Digital (1990-2009),time_signature,0.0018847834255494788,0.00019408135930819257
era,CD/Digital (1990-2009),chorus_hit,0.0043388906039692286,0.0003270276641467931
era,CD/Digital (1990-2009),sections,0.013455491936151127,-0.0002636424938377873
era,Streaming (2010s),danceability,0.058868268600080376,0.0004927821601260003
era,Streaming (2010s),energy,0.04178335555139659,0.005349087788373247
era,Streaming (2010s),key,0.0029136187647742255,5.48910997840703e-05
era,Streaming (2010s),loudness,0.06326735657005068,-0.0010945712223965126
era,Streaming (2010s),mode,0.0010399796112139066,8.649050533286477e-05
era,Streaming (2010s),speechiness,0.009346246209526858,0.0020655266867454906
era,Streaming (2010s),acousticness,0.04671998416122662,-0.0027768940724138755
era,Streaming (2010s),instrumentalness,0.16908877843023537,-0.003940197689541471
era,Streaming (2010s),liveness,0.005893804811783043,0.0005821332445654617
era,Streaming (2010s),valence,0.019934406873656087,0.0012817466966108157
era,Streaming (2010s),tempo,0.0059688005389106425,0.0005309407878109596
era,Streaming (2010s),duration_ms,0.031067790286097952,0.0013999248104272543
era,Streaming (2010s),time_signature,0.003834889335931858,0.001226320481864541
era,Streaming (2010s),chorus_hit,0.004496965193773826,0.0011198530665238945
era,Streaming (2010s),sections,0.00726592575494527,0.0003438380104392017
decade,60s,danceability,0.01808992968003238,0.0006496662034659204
decade,60s,energy,0.03346469316246866,0.0001324623974835091
decade,60s,key,0.003970303968652447,0.0003045540298226109
decade,60s,loudness,0.02891294160510446,0.00011044576519533635
decade,60s,mode,0.03498911392368469,-0.0034282465790493226
decade,60s,speechiness,0.036989498973613734,-0.0005507339298365462
decade,60s,acousticness,0.058999491573839144,-3.9586963663996864e-05
decade,60s,instrumentalness,0.07578608879024568,0.00926683475439222
decade,60s,liveness,0.005453006292807024,0.0003624528528017228
decade,60s,valence,0.026814525800157585,0.0021097990338158215
decade,60s,tempo,0.017197158902140897,-0.0007405104556893934
decade,60s,duration_ms,0.06522731676233996,-0.005407146500310306
decade,60s,time_signature,0.002793963360915693,-0.0012329223318405962
decade,60s,chorus_hit,0.007389766651596491,-0.0013587003039057827
decade,60s,sections,0.022039507090189477,-0.0016499503968872766
decade,70s,danceability,0.04599900045614825,-0.004043625127966029
decade,70s,energy,0.028998059675608288,0.0013695253184063108
decade,70s,key,0.003876143352981431,0.0003083622670115581
decade,70s,loudness,0.025596947740775478,0.000537802233856775
decade,70s,mode,0.007790040918570497,-0.00025790689225131967
decade,70s,speechiness,0.05226641102310397,-0.0023316709857541663
decade,70s,acousticness,0.06436466383321252,-0.005759470288062607
decade,70s,instrumentalness,0.09556528167298896,-0.0043657669494085154
decade,70s,liveness,0.008385988541156013,-3.858880176731494e-05
decade,70s,valence,0.01523693992795711,0.0016991859660693612
decade,70s,tempo,0.008757485691704179,-0.0013449421074459074
decade,70s,duration_ms,0.045745627229685594,-0.0030688659178601503
decade,70s,time_signature,0.009021772081540914,0.0008437583288282406
decade,70s,chorus_hit,0.007188197782552712,-0.0014576006216624273
decade,70s,sections,0.017936319842202657,-0.0028571746781113653
decade,80s,danceability,0.06767054233394046,0.0031831168385000235
decade,80s,energy,0.023454225200565008,0.00269572974192354
decade,80s,key,0.0029709148784425898,0.0004970013308345019
decade,80s,loudness,0.028621056304227836,0.0028293776929388752
decade,80s,mode,0.003755966054981001,0.0004965209656443993
decade,80s,speechiness,0.049403368631866354,0.004928175859922326
decade,80s,acousticness,0.06999349621311282,0.003828091285501411
decade,80s,instrumentalness,0.0877912789504535,0.004937907382881539
